model,prompt,vignette,predictor,Estimate,SE,z,p_value,p_adj
llama,ignore,3,raceB,0.7567461027920896,0.5925711580120758,1.2770552406411049,0.2015827454410395,0.49560018562596786
llama,ignore,3,raceI,0.802948243156587,0.4453071919996493,1.8031333371261145,0.0713672766990381,0.3829725391751956
llama,ignore,3,raceL,-0.1159095899157361,0.3711791961089112,-0.312273939732673,0.7548323435545736,0.791587589872834
llama,ignore,3,raceW,-0.4355576029004164,0.5750427169074784,-0.7574352132356378,0.4487891663210052,0.637162727329875
llama,ignore,3,genderM,0.1346313121871669,0.1756508516122898,0.766471161121015,0.4433960050381227,0.637162727329875
llama,baseline,3,threatening_z,0.1536583377982049,0.1271780438797195,1.2082143513980252,0.2269648229130079,0.46372737094767175
llama,baseline,3,trustworthy_z,-0.1168458787912349,0.1294054826144645,-0.9029438044704168,0.3665557205254711,0.46372737094767175
llama,baseline,3,attractive_z,0.0343033463588045,0.1078369848320864,0.3181037230614193,0.7504062596129988,0.7504062596129988
llama,baseline,3,prototypic_z,-0.0980185432221574,0.0896897830708308,-1.0928618608069227,0.2744544559242048,0.46372737094767175
llama,baseline,3,race_ambiguity_z,-0.3731339370067825,0.2319243700979838,-1.6088604093185213,0.1076468681167209,0.46372737094767175
llama,baseline,3,age_rated_z,-0.0672707418052684,0.0759410160169669,-0.8858288357669402,0.3757097686914696,0.46372737094767175
llama,baseline,3,luminance_z,0.0678729782106239,0.1978472331834718,0.3430575051190257,0.7315551992971979,0.7504062596129988
llama,baseline,3,raceB,-0.8003948677938927,0.620381130769752,-1.2901663640233296,0.1969929019609494,0.46372737094767175
llama,baseline,3,raceI,-0.390982044871724,0.4514322386576283,-0.8660924306920169,0.3864394757897265,0.46372737094767175
llama,baseline,3,raceL,-0.7306610025047785,0.3780025637535805,-1.9329525050023093,0.0532420489291095,0.46372737094767175
llama,baseline,3,raceW,-0.9080786337752708,0.5844900135476394,-1.5536255756767638,0.1202737550168969,0.46372737094767175
llama,baseline,3,genderM,0.1745546120428756,0.1685139544311723,1.03584663140862,0.3002736987918782,0.46372737094767175
qwen,acknowledge,4,threatening_z,-0.0654766538795263,0.4818316304194199,-0.1358911489943715,0.8919073326470517,0.9792192731584785
qwen,acknowledge,4,trustworthy_z,-0.546990663483445,0.4163916538880665,-1.3136446381091151,0.1889658195328323,0.9792192731584785
qwen,acknowledge,4,attractive_z,0.0760926029251009,0.3712898938719292,0.2049412175795657,0.8376180516499074,0.9792192731584785
qwen,acknowledge,4,prototypic_z,0.2610138634580646,0.2731363487752991,0.9556174585638648,0.3392655377884267,0.9792192731584785
qwen,acknowledge,4,race_ambiguity_z,-0.097607433079615,0.708422172689156,-0.1377814484675137,0.8904131464888216,0.9792192731584785
qwen,acknowledge,4,age_rated_z,-0.0955698783898722,0.2382196958747351,-0.4011837813785409,0.6882848207100406,0.9792192731584785
qwen,acknowledge,4,luminance_z,0.0636072095427362,0.6340161548699728,0.1003242725822674,0.920086887969256,0.9792192731584785
qwen,acknowledge,4,raceB,0.0955075931382536,1.7313866340113586,0.0551624872585374,0.956009014239912,0.9792192731584785
qwen,acknowledge,4,raceI,1.3055523885835578,1.5753206215155706,0.8287534427928224,0.4072439378899878,0.9792192731584785
